"Lab_ID","Field_ID","Date","Temp_C","pH","SpCond_us_cm","DO_mgL","CO2_ppm","CH4_ppm","Alkalinity_mgL","DIC_umolesL","DOC_mgL_ofC","SUVA_Lmg_Cm","UV_at254nm","Calcium_mgL","Potassium_mgL","Magnesium_mgL","Sodium_mgL","Chloride_mgL","Sulfate_mgL","Ammonium_mgL","Nitrate_mgL","Phosphorous_mgL","H2_permil","O18_permil","DIC_13C_permil","TYPE","Source"
12821,"0_36_3","2011-07-31",15.9,7.31,286,NA,1343,81.47,172.73,2426.2,52.9,1.5,0.81,46.81,7.06,13.7,8.2,6.26,1.5,0.101,1.2,"NA",NA,NA,6.16,"Lake","USGS_RStriegl"
12857,"1_42_1","2011-08-02",18.5,7.21,82,NA,4704,18.91,NA,577.8,32.7,3.5,1.157,15.27,2.88,4.5,3.6,NA,NA,0.081,NA,"NA",NA,NA,-13.6,"Lake","USGS_RStriegl"
12858,"1_46_2","2011-08-05",18.1,7.03,278,NA,1836,15.26,150.97,2422.6,33.5,1.7,0.569,26.65,4.89,19.9,7.86,2.1,0.71,0.03,0.005,"NA",NA,NA,-2.52,"Lake","USGS_RStriegl"
12859,"1_71_1","2011-08-04",18.4,9.13,167,NA,134,16.33,87.24,1103.2,24.6,1.6,0.391,18.15,2.68,8.9,2.92,0.97,0.31,0.021,0.005,"NA",NA,NA,-5.38,"Lake","USGS_RStriegl"
12860,"1_71_2","2011-08-05",18.1,8.08,336,NA,2004,57.51,159.59,2287.5,41.6,1.4,0.578,34.09,9.42,14.3,7.36,3.95,1.22,0.265,0.005,"NA",NA,NA,4.61,"Lake","USGS_RStriegl"
12861,"1_46_1","2011-08-07",17.2,7.7,251,NA,1195,18.39,174.35,2494.9,41.6,2.1,0.892,27.75,5.13,22.7,8.64,2.58,2.06,0.048,0.005,"NA",NA,NA,-2.73,"Lake","USGS_RStriegl"
12862,"1_48_2","2011-08-05",17.2,9.03,1032,NA,576,41.42,NA,8165.2,61.7,1.5,0.899,10.59,41.47,104.8,123.32,29.44,0.015,0.183,0.005,"NA",NA,NA,7.3,"Lake","USGS_RStriegl"
12863,"1_48_1","2011-08-05",14.7,8.75,262,NA,859,7.09,NA,2360.4,21,1.9,0.389,22.23,10.28,18,9.06,4.15,0.015,0.006,0.14,"NA",NA,NA,4.2,"Lake","USGS_RStriegl"
12864,"1_46_3","2011-08-07",16.5,7.8,166,NA,0,61.28,NA,881.3,30.7,1.4,0.423,14.2,2.99,13.7,5.23,1.12,0.015,0.088,0.05,"NA",NA,NA,-11.28,"Lake","USGS_RStriegl"
12888,"1_53_1","2011-08-10",15.2,6.75,173,NA,3852,24.91,94.6,1487.1,36.2,2.6,0.927,30.85,8.39,9.7,5.53,2.09,6.27,0.093,0.07,"NA",NA,NA,-3.78,"Lake","USGS_RStriegl"
12889,"0_28_1","2011-08-11",14,10.44,397,NA,0,13.26,NA,706.3,38.1,1.7,0.66,19.43,11.15,23.2,16.54,3.68,118.81,0.175,0.005,"NA",NA,NA,-17.11,"Lake","USGS_RStriegl"
12890,"1_63_2","2011-08-12",15,7.56,316,NA,53,33.86,201.05,2000,59,1.6,0.93,17.25,16.26,30,25.42,13.62,0.69,0.127,0.005,"NA",NA,NA,-7.32,"Lake","USGS_RStriegl"
12891,"1_50_3","2011-08-12",14.9,9.15,181,NA,212,20.63,82.32,1042.9,27.1,2.6,0.702,22.92,3.26,8.3,2.27,1.01,8.13,0.069,0.005,"NA",NA,NA,-7.54,"Lake","USGS_RStriegl"
12892,"1_53_4","2011-08-12",15.7,7.02,616,NA,6105,18.87,NA,1004.8,39.3,2.4,0.943,103.48,9.76,30.2,5.46,1.7,278.89,0.084,0.005,"NA",NA,NA,-8.71,"Lake","USGS_RStriegl"
12893,"1_63_5","2011-08-13",15.8,7.48,310,NA,932,12.2,200.26,2796,28.7,1.2,0.34,24.28,8.92,28,11.18,5.04,2.06,0.066,0.005,"NA",NA,NA,-1.2,"Lake","USGS_RStriegl"
12894,"1_50_1","2011-08-13",15.6,9.61,222,NA,54,19.72,NA,1281.7,24.7,1.2,0.304,13.83,3.98,16.3,6.42,2.37,1.76,0.063,0.005,"NA",NA,NA,-6.18,"Lake","USGS_RStriegl"
12895,"1_63_3","2011-08-14",15.2,7.44,233,NA,912,70.22,148.7,2115.9,23.9,1.4,0.336,25.41,11.41,15.7,6.66,3.6,0.015,0.059,0.005,"NA",NA,NA,-0.04,"Lake","USGS_RStriegl"
12896,"1_63_1","2011-08-14",14.2,7.39,321,NA,1223,15.43,147.06,2072.7,23.6,2.7,0.643,59.6,1.71,20.5,3.68,1.26,67.34,0.046,0.35,"NA",NA,NA,-7.97,"Lake","USGS_RStriegl"
12897,"0_28_5","2011-08-15",12.7,7.43,250,NA,4073,57.37,NA,2197.1,31.6,2.8,0.897,39.74,13.28,10.8,4.16,1.78,19.43,0.065,0.005,"NA",NA,NA,-7.07,"Lake","USGS_RStriegl"
12898,"1_53_2","2011-08-15",14,7.56,193,NA,2608,154.7,115.75,1745.9,18.4,2,0.373,29.37,2.51,9.2,2.87,0.79,2.16,0.042,0.005,"NA",NA,NA,-2.55,"Lake","USGS_RStriegl"
12899,"0_28_4","2011-08-16",13.1,9.15,257,NA,50,14.02,145.59,1447.6,34.8,1.5,0.52,NA,NA,NA,NA,3.44,2.03,0.094,0.005,"NA",NA,NA,-6.35,"Lake","USGS_RStriegl"
12900,"1_50_4","2011-08-17",14.5,9.86,138,NA,12,32.3,61.55,1020.2,22.9,1.6,0.357,11.88,1.82,7.7,2.45,0.78,1.04,0.071,0.005,"NA",NA,NA,-9.12,"Lake","USGS_RStriegl"
12901,"1_63_4","2011-08-17",13.8,7.68,248,NA,0,24.9,105.43,973.9,37.8,1.7,0.641,21.69,13.24,18.6,9.37,4.47,43.21,0.1,0.005,"NA",NA,NA,-14.16,"Lake","USGS_RStriegl"
12902,"1_50_2","2011-08-17",14.9,9.86,197,NA,0,21.46,100.36,606.2,28.6,1.4,0.391,13.67,4.48,14.4,5.87,1.95,0.59,0.054,0.005,"NA",NA,NA,-13.48,"Lake","USGS_RStriegl"
12903,"0_28_3","2011-08-17",13,9.82,316,NA,0,15.39,103.82,800.1,39.2,2.1,0.837,27.47,13.24,20.4,13.8,2.07,76.05,0.089,0.005,"NA",NA,NA,-15.33,"Lake","USGS_RStriegl"
